patent_id,patent_abstract,patent_title,cpc_subclass
11213100,"A foot presence sensor system for an active article of footwear can include a sensor housing configured to be disposed at or in an insole of the article, and a controller circuit, disposed within the sensor housing, configured to trigger one or more automated functions of the footwear based on a foot presence indication. In an example, the sensor system includes a capacitive sensor configured to sense changes in a capacitance signal in response to proximity of a body. A dielectric member can be provided between the capacitive sensor and the body to enhance an output signal from the sensor.",Foot presence sensing systems for active footwear,A61B
11213186,"The endoscope apparatus includes an endoscope and a video processor. The endoscope apparatus has a voice coil motor provided in a distal end portion of an insertion portion of the endoscope and having a coil with a resistance component, and a signal wire inserted into the insertion portion and connected to both ends of the coil, detects at least one value of a current supplied to the signal wire and a voltage applied to the signal wire, calculates power consumption of the coil from the at least one value detected and resistance value information of the resistance component, and executes a predetermined process based on the calculated power consumption of the coil and power consumption threshold information.",Endoscope apparatus and image processing apparatus,A61B
11213187,"There is provided an endoscope from which excellent close contact feeling is obtained and which is easy to grip in a case in which an operator is to grip a grip portion.A grip portion of an endoscope has a cross-sectional shape symmetric with respect to a second center line. The grip portion includes a first curved surface, second curved surfaces, and ridges. The first curved surface is a curved surface that is convex outward from a plane, which includes an intersection point between the second center line and the first curved surface and the ridge, and a plane, which includes an intersection point between the second center line and the first curved surface and the ridge. The second curved surfaces are concave inward from planes parallel to the second center line.",Endoscope,A61B
11213188,"An optical fiber scanning device includes a housing, an optical fiber configured to emit light, a magnet disposed on the optical fiber, four drive coils configured to drive the optical fiber by applying to the magnet a magnetic field generated by a received drive power signal, and four detection coils configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.","Optical fiber scanning device, optical scanning type endoscope and endoscope system",A61B
11213189,"The invention relates to an endoscopic device, in particular for medical applications, comprising an endoscope with a shaft that is introducible into a subject under examination, and a data processing unit, three or more optical imaging units having respective imaging elements arranged distally on the shaft and image sensors associated therewith for providing image data sets for the data processing unit, wherein the data processing unit is configured and programmed such that it uses the image data sets to determine corresponding image points therein and generates a 3D surface data set of an object imaged by the imaging units in the subject under examination. Moreover, the invention relates to a method for endoscopic examination.",Endoscopic device and method for endoscopic examination,A61B
11213190,"An endoscope including an insertion tube, a working, channel located within the insertion tube, and a protecting feature disposed within at least a portion, of the working channel The protecting feature may be adapted to protect the working-channel from thermal damage and/or from mechanical damage caused by a medical instrument located in the working channel. The protecting feature may be adapted to determine presence or absence of a medical instrument within the working channel, arid/or a location of the medical instrument within the working channel.",Endoscope working channel protection,A61B
11213191,"An endoscopic probe extending from a proximal end to a distal end thereof, and configured to be inserted in a tubular lumen to observe a sample is disclosed. The probe includes a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; and a plurality of second waveguides having at least the distal ends thereof arranged in one or more rings around the inner sheath to surround the distal end of the first waveguide. At the distal end, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a tilt angle which can be adjustable. This novel endoscopic probe has a resultant numerical aperture larger than the numerical aperture of each of the second waveguides, and it may be applicable to forward-viewing spectrally encoded endoscopes (SEE).",Optical fiber arrangement for endoscope,A61B
11213192,"An optical scope includes a body and an elongated shaft. The shaft distal end holds an optical assembly including an imaging lens with a field of view of at least 90 degrees. An LED is coupled to the body and has an output numerical aperture (NA) providing a critical angle larger than the field of view. A first pair of fiber bundles have proximal ends receiving light from the LED with distal ends presented at the shaft distal face, and an NA providing a critical angle less than the field of view. A second pair of fiber bundles also receive light from the LED with distal ends having at the shaft distal face, and have an NA providing a critical angle at least as large as the field of view. The bundles are positioned around imaging lens such that they create a light having a desired intensity profile and properties.",Endoscope device and method with illumination fiber bundles having multiple numerical apertures,A61B
11213193,"An endoscopy system including: an endoscope; a light source; an optical cable connecting the light source to the endoscope; wherein the endoscope includes at least one bundle of endoscope optical fibers; the cable includes at least one bundle of cable optical fibers; a light source coupling point provided where light is coupled into the cable optical fibers; an endoscope coupling point provided where light is coupled from the cable optical fibers into the endoscope optical fibers; and the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling point, the light source including a controller to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling point are not illuminated by the light source.",Endoscopy system and light source of an endoscopy system,A61B
11213194,"Optical fiber waveguide for communicating electromagnetic radiation pulsed by an emitter in an endoscopic imaging system. A system includes an emitter for emitting pulses of electromagnetic radiation and an endoscope comprising an image sensor for sensing reflected electromagnetic radiation. The system includes a waveguide communicating the pulses of electromagnetic radiation from the emitter to the endoscope. The system is such that at least a portion of the pulses of electromagnetic radiation emitted by the emitter comprises one or more of a hyperspectral emission, a fluorescence emission, and/or a laser mapping pattern.","Optical fiber waveguide in an endoscopic system for hyperspectral, fluorescence, and laser mapping imaging",A61B
