patent_id,patent_abstract,patent_title,cpc_subclass
11213014,"The purpose of the present invention is to provide an absorbent article for pets that fits the body of a pet in an excellent manner and is able to properly absorb liquid bodily waste such as urine. This absorbent article (1) for pets has mutually perpendicular longitudinal, width and thickness directions and is worn in such a way that the longitudinal direction extends around the body of a pet. The absorbent article (1) for pets comprises an absorbent body (4) that is provided with a deformation guide part (40) extending in a direction intersecting with the longitudinal direction in a plan view.",Absorbent article for pets,A61F
11213105,A feminine hygiene storage assembly for discretely transporting feminine hygiene products includes a case that has a first portion which is hingedly coupled to a second portion. A plurality of first pockets is each of the first pockets is coupled to the first portion of the case for containing feminine hygiene products. A plurality of second pockets and a third pocket is each coupled to the second portion of the case for containing feminine hygiene products. The third pocket is comprised of a fluid impermeable material to inhibit fluids in the soiled undergarments or used feminine hygiene products from escaping the third pocket. A suspension is coupled to the case and the suspension is extendable over a support to position the case at a convenient height for the user.,Feminine hygiene storage assembly,A61F
11213201,"The present invention relates to a method for recommending a vision correction surgery, and the method according to one aspect of the present invention comprises: obtaining an examination data of a subject; predicting whether the vision correction surgery is suitable for the subject from the examination data; when the vision correction surgery is suitable for the subject, predicting whether the vision correction surgery using a laser is available for the subject from the examination data; when the vision correction surgery using the laser is available for the subject, calculating corneal shape factor prediction values of the subject after a standard vision correction surgery and a custom vision correction surgery from the examination data; and when the vision correction surgery using the laser is available for the subject, suggesting a vision correction surgery corresponding to the subject from the examination data.",Vision correction surgery recommendation method and device,A61F
11213253,"Luminal organ sizing devices and methods. In a method of the present disclosure, the method includes performing a valve replacement procedure using a valve device positioned within a valve annulus or opening of a luminal organ while a system including a balloon configured for inflation is at least partially introduced into a luminal organ so that the balloon is adjacent to a valve annulus or opening.",Luminal organ sizing devices and methods,A61F
11213282,"An intravascular delivery device is disclosed comprising a delivery wire having a proximal and a distal end and an interior lumen extending there between and wherein said distal end comprises a connection interface adapted to matingly interlock with a proximal end portion of a medical implantable device, wherein said delivery device comprises a locking unit arranged to secure said connection interface in a locking position in which said medical implant is pivotably locked before a controlled release.","Implant, medical implant, and method for delivery of a medical implant",A61F
11213285,"A tissue retention belt for retracting and retaining tissue in a position that permits access to a body portion of a patient for a medical procedure includes a flexible elongate body, a gripping portion affixed to the elongate body at the intermediate portion, and at least one attachment surface disposed at a proximal portion and/or a distal portion of the elongate body. The elongate body may include a first material having a first coefficient of friction, and the gripping portion may include a non-adhesive second material having a second coefficient of friction greater than the first coefficient of friction and defining a slip resistant exterior gripping portion. The tissue retention belt can be positioned or wrapped around a patient's body (e.g., pannus, thigh) such that the gripping surface contacts and grips the patient's skin to retract and retain the skin at the position to provide access for a medical procedure.",Tissue retention devices and methods,A61F
11213290,"In a method for providing a double loop stitch, a needle assembly having a first needle portion and a second needle portion that is removably connected to the first needle portion is provided. Opposing ends of a thread are connected to the needle portions, forming a loop that is placed around a sewing material. The needle assembly is inserted through the sewing material at an insertion point. The thread is then partially pulled through the sewing material at the insertion point such that a pair of loops of thread, separated by the insertion point, remain adjacent a first face of the sewing material. The needle portions are then separated and are passed around opposite sides of the sewing material from adjacent a second face back adjacent the first face. Each needle portion is then passed through one of the loops. The loops are then cinched and locked in place.",Methods and systems for double loop stitching,A61F
11213294,A surgical system is disclosed that comprises a stapling instrument including a staple firing lockout and a staple cartridge configured to defeat the staple firing lockout when the staple cartridge is seated in the stapling instrument.,Surgical instrument comprising co-operating lockout features,A61F
11213296,Veins and other blood vessels may be reshaped by introducing an implant through the vessel walls with anchors positioned on opposite sides of the wall. The anchors typically include an elongate body having coils or other anchors formed therein. The implants may be delivered percutaneously using a cannula which can hold the anchor externally or internally. The methods and devices are useful in treating a dorsal vein to reduce blood flow in patients suffering from erectile dysfunction.,Devices and methods for reshaping blood vessels,A61F
11213297,"An atrial appendage occluder capable of entering a half-released state by means of pushing a head-end fiber comprises: an occlude body (1); a head-end control fiber (2); and a tail-end control fiber (3). A head end of the occluder body (1) is connected to one end of the head-end control fiber (2) by means of a head-end threaded bushing (4). A tail end of the occluder body (1) is connected to one end of the tail-end control fiber (3) by means of a tail-end threaded bushing (5). The tail-end control fiber (3) is in the form of a hollow column. The other end of the head-end control fiber (2) sequentially passes through the tail-end threaded bushing (5) and the tail-end control fiber (3). The occluder body (1) is in a woven-net support structure, and has a shape preconfigured to match the structure of an atrial appendage after the occluder body (1) has been fully released. The occluder body (1) is in the form of a strip and disposed in an outer sheath (6) before being released. The occluder body (1) is in a half-release state after being pushed out of the outer sheath (6). The diameter of the occluder body (1) is changed by pushing or pulling the head-end control fiber (2, 3). The atrial appendage occluder can adjust its location in the atrial appendage, such that the occluder can be released precisely in a preset location.",Atrial appendage occluder capable of entering half-released state by means of pushing head-end fiber,A61F
