patent_id,patent_abstract,patent_title,cpc_subclass
11213020,"An atopic dermatitis model non-human animal, containing a gene mutation in which a complex containing dedicator of cytokinesis 8 (DOCK8) protein, mammalian STE20-like kinase 1 (MST1) protein, and endothelial PAS domain protein 1 (EPAS1) protein is not formed in CD4+ T cells.",Atopic dermatitis model non-human animal and use thereof,A61K
11213050,"The present invention relates to a Siphoviridae bacteriophage Esc-COP-9 (Accession number: KCTC 13131BP) isolated from nature, which has the ability to specifically kill Escherichia coli and which includes a genome expressed by SEQ. ID. NO: 1, and to a method of preventing and treating a pathogenic Escherichia coli infection using a composition including the same as an active ingredient.",Escherichia coli bacteriophage Esc-COP-9 and use for inhibiting proliferation of pathogenic Escherichia coli thereof,A61K
11213058,"A substance having innate immune stimulating activity is a polysaccharide, which contains 25 to 50 parts by mole of galacturonic acid, 15 to 50 parts by mole of galactose, 0 to 7 parts by mole of glucose, 0 to 30 parts by mole of arabinose, 0 to 6 parts by mole of xylose, and 3 to 15 parts by mole of rhamnose as constituent sugars. The polysaccharide has a polygalacturonic acid chain having α-1,4-linked galacturonic acid as a main chain. An innate immune stimulant can include the polysaccharide as an active component, which can be included in a food or drink.",Polysaccharide having innate immunity stimulating activity,A61K
11213059,The present technology relates to a nutritional formulation for administration to bariatric individuals. The nutritional formulation includes a multi-nutrients dosage unit; and a minerals dosage unit.,Nutritional formulations and kits for bariatric individuals,A61K
11213371,"The invention relates to a scan abutment (2) for determination of the position of the plane of the front face (1.1) of a dental endosseous implant (1), wherein the abutment (2) has a longish, hollow shaft (4) and a base (3) at the bottom side (4.2) of the shaft (4), and the base (3) with at least a part of its bottom side (8.2) is attachable onto the front face (1.1) of the implant (1), wherein the base (3) has a recess (9) extending from the upper side (8.1) to the lower side (8.2) of the base (3), wherein the longish, hollow shaft (4) has from a side wall (10) having at least one through hole (5a) at its outer periphery, wherein the through hole of the side wall (10) extends from the bottom side (4.2) of the shaft (4) to the upper side (4.1) of the shaft, thereby forming a planar surface (6) in the plane (12) between shaft (4) and base (3).",Scan abutment having an enlarged scan surface,A61K
11213462,"A dental adhesive composition, having a solvent which is an azeotrope of methyl ethyl ketone with water. Optionally, the azeotropic solvent may comprise in addition, ethanol or isopropanol. The boiling point of the solvent is less than 75° C.",Dental adhesive compositions,A61K
11213463,"An oil-in-water type emulsified cosmetic and a method of making can be prepared in a system not containing a silicone and is surprisingly produced without a wet-type dispersion apparatus by using a specific combination of the oil component constituting the oily phase and a hydrophobizing agent for a hydrophobized powder. The composition includes an aqueous phase; an oily phase dispersed in the aqueous phase; and a powder dispersed in the oily phase. The oily phase comprises (a) volatile hydrocarbon oil and (b) non-volatile hydrocarbon oil in a combined amount of 40% by mass or more with respect to the total oil content, wherein the blending ratio of (b) non-volatile hydrocarbon oil to (a) volatile hydrocarbon oil, [(b)/(a)], is within a range of 0 to 2.5, and the powder comprises a powder having a surface hydrophobized by a treatment with a metallic soap consisting of a higher fatty acid and a divalent metal or a composite treatment with a higher fatty acid and a divalent metal hydroxide.",Oil-in-water type cosmetic composition,A61K
11213464,"A solid temporal colorimetric hydrogel cosmetic composition includes 15 to 99.90 wt % of the water phase part and 0.10 to 85 wt % of the oil phase part, having a refractive index difference of 0 to 0.02 therebetween, and having a color change according to variations in a refractive index difference between the water phase part and the oil phase difference when applied to the skin. The cosmetic composition not only has flexibility through irradiation of gamma-rays, but also enables an optimal application time of the cosmetic composition to be visually confirmed through a color change from transparency to ivory white due to a change in the refractive index difference caused by absorbency and volatilization of water when applying the composition to the skin. The cosmetic composition is capable of improving quality of a product although a preservative irritating to the skin is not added.",Solid temporal colorimetric hydrogel cosmetic composition having flexibility by gamma-ray irradiation,A61K
11213465,"Disclosed is an apparatus and methods for its use that is configured to be used to treat various skin conditions. The apparatus includes a water-permeable absorbent material and a plant material comprising a water-soluble skin-active ingredient. The plant material is enclosed within the water-permeable absorbent material, and the water-permeable absorbent material is configured to absorb water and allow the absorbed water to contact the plant material so as to release the active ingredient from the plant material. The active ingredient is then absorbed by the absorbent material, which is then topically applied to skin in need of skin treatment.",Delivery of active ingredients from plant materials to skin,A61K
11213466,"A personal care composition, comprising a soluble zinc polyphosphate complex made by combining ingredients comprising an inorganic zinc salt, a plurality of long chain polyphosphates having 6 or more phosphate polymer units, and an aqueous solvent; wherein the relative amount of inorganic zinc salt and long chain polyphosphates provides a phosphorus to zinc mole ratio of at least 6:1. Also, a method of using the composition for reducing at least one of perspiration or body odor.",Personal care compositions with zinc phosphate active,A61K
