patent_id,patent_abstract,patent_title,cpc_subclass
11213073,"A volatizer is provided including a multifunction cap secured over the open end of a body or other device, the chamber or other part of the device holding an amount of material to be extracted by selective volatization therein and including a thermo-indicator thereon or therein capable of deforming, actuating or otherwise indicating upon heating to a preselected temperature to provide an indication of the proper temperature for volatilization and extraction of the selected and or target compound from the material within the device.",Tubular volatizing device,A61L
11213173,"A device for reducing a level of infectious agents present on one or more hands of a user. This device may reduce the level of infectious agents present on one or more fingers and/or thumbs of a user, specifically reducing a level of infectious agents present on the distal aspect of the digit; including, but not limited to an underside of a nail plate, and an area of hyponychium skin between a free margin of the nail plate and an onychodermal band of a digit, such as for example, a finger, thumb, or toe.",Hand cleaning device,A61L
11213318,"One embodiment is directed to a system for deploying a device to a distal location across a vessel, comprising an elongate introducer sheath tubing member comprising open-cell fibrous wall material defining a lumen therethrough, wherein in a collapsed configuration the sheath has a first cross-sectional outer diameter and a first lumen inner diameter, and in an expanded configuration, the sheath has a second cross-sectional outer diameter and a second lumen inner diameter; and a substantially non-porous expandable layer coupled to a proximal portion of sheath and configured to prevent fluids present in the lumen from crossing the fibrous wall material. Also disclosed is a delivery assembly comprising an obturator which releasably captures the distal portion of an introducer sheath which obturator can be removed after the sheath is deployed to a desired location.",Expandable introducer sheath and method,A61L
11213380,"A suture to be used in producing a medical instrument provided with a sutured site such as a stent graft, an artificial blood vessel or an artificial heart valve, has two components, i.e., a high melting-point component and a low-melting point component, the difference between the melting points of components being 30° C. or more and the low-melting point component is exposed on the suture surface entirely along the length direction. When a medical material formed of a fabric or a film is sutured or knotted with the suture and then the suture site is heated at such a temperature not allowing the high-melting point component but the low-melting point component alone to melt, the sutured site is fused and fixed. Thus, a knot or a seam, which sustains the fiber shape and strength and never becomes loose, can be formed.",Stent graft and method for making same,A61L
11213385,"Methods for the conditioning of bioprosthetic material employ bovine pericardial membrane. A laser directed at the fibrous surface of the membrane and moved relative thereto reduces the thickness of the membrane to a specific uniform thickness and smoothes the surface. The wavelength, power and pulse rate of the laser are selected which will smooth the fibrous surface as well as ablate the surface to the appropriate thickness. Alternatively, a dermatome is used to remove a layer of material from the fibrous surface of the membrane. Thinning may also employ compression. Stepwise compression with cross-linking to stabilize the membrane is used to avoid damaging the membrane through inelastic compression. Rather, the membrane is bound in the elastic compressed state through addition cross-linking. The foregoing several thinning techniques may be employed together to achieve strong thin membranes.",Methods of conditioning sheet bioprosthetic tissue,A61L
11213397,"A joint prosthesis system is suitable for cementless fixation. The system includes a metal implant component that has a mounting surface for supporting an insert. The metal implant component includes a solid metal portion and a porous metal portion. The porous metal portion has surfaces with different characteristics, such as roughness, to improve bone fixation, ease removal of the implant component in a revision surgery, reduce soft tissue irritation, improve the strength of a sintered bond between the solid and porous metal portions, or reduce or eliminate the possibility of blood traveling through the porous metal portion into the joint space. A method of making the joint prosthesis is also disclosed. The invention may also be applied to discrete porous metal implant components, such as augment.",Prosthesis with surfaces having different textures and method of making the prosthesis,A61L
11213398,"Hard-tissue implants are provided that include a bulk implant, a face, pillars, slots, and at least one support member. The pillars are for contacting a hard tissue. The slots are to be occupied by the hard tissue. The at least one support member is for contacting the hard tissue. The hard-tissue implant has a Young's modulus of elasticity of at least 3 GPa, and has a ratio of the sum of (i) the volumes of the slots to (ii) the sum of the volumes of the pillars and the volumes of the slots of 0.40:1 to 0.90:1. Methods of making and using hard-tissue implants are also provided.","Hard-tissue implant comprising a bulk implant, a face, pillars, slots, and at least one support member",A61L
11213488,"The present invention is directed to a method of preparing dehydrated blood products, comprising the steps of: (a) providing a hydrated blood product; (b) spray-drying the hydrated blood product to produce a dehydrated blood product, as well as dehydrated blood products made by the method. The present invention is directed to a method of treating a patient suffering from a blood-related disorder, comprising the steps of: (a) rehydrating a therapeutic amount of the dehydrated blood products to produce a rehydrated therapeutic composition; and (b) administering the rehydrated therapeutic composition to the patient. The present invention is directed to a bandage or surgical aid comprising the dehydrated blood products described above.",Spray-dried blood products and methods of making same,A61L
11213564,"A wound healing composition and method for treating acute and chronic wounds and skin conditions includes a wound healing composition or formulation including a mixture of buckwheat honey, methylglyoxal and bacitracin.",Buckwheat honey and bacitracin wound-healing dressing,A61L
11213599,"Far-Ultra-Violet C (Far-UVC) jewelry article with components thereof and other accessories is provided to protect wearer from intrusion of viruses and micro-organisms. The jewelry article is integrated with Far-UVC photons that project wavelengths of about 222 nanometers to protect against viruses. The jewelry article would be a type of necklace, bracelet, or ankle bracelet comprised of Far-UVC diodes attached on the jewelry projecting sterilizing rays on surfaces at a safe distance protecting skin and eyes.",Far-UVC jewelry for anti-virus protection,A61L
11213600,"An electric plug type fragrance liquid heating and diffusing device includes an aroma bottle with a carrier having capillary pores for absorbing an aroma liquid, and a heater for heating the aroma liquid in the capillary pores of the carrier to dissipate the aromatic molecules into the outside air. When the aroma liquid is used up, the aroma bottle can be easily and rapidly detached for replacement. The aroma liquid absorbed by the carrier will not flow out of the carrier even if the aroma bottle is tilted or dumped during use or movement, ensuring safe use.",Electrical plug type fragrance liquid heating and diffusing device,A61L
11213601,"A scent dispenser may comprise a vial retaining mechanism, a heating element, vial sensor, and a controller. The vial retaining mechanism includes a vial coupling that removeably retains a vial containing a scented solution. The includes a wick extending from a cavity of the vial through an opening of a neck of the vial. The heating element is shaped to receive and heat the wick of the vial. The vial sensor includes an array of sensor pads that are arranged in alignment with the vial retained by the vial coupling. The controller is electrically coupled to the heating element and electrically coupled to the array of sensor pads. The controller regulates a temperature level of the heating element, and receives signals from the array of sensor pads and processing the signals to determine a fluid level of the vial.",Fragrance intensity control mechanism with PID control,A61L
