patent_id,patent_abstract,patent_title,cpc_subclass
11213070,"A columnar lump body includes a first lump body end face that forms an air inflow end, a second lump body end face that forms an air outflow end, and a lump body side face that continues into an outer periphery of the first lump body end face and an outer periphery of the second lump body end face. The columnar lump body is disposed in such a way as to block an inside space of the cylindrical body side wall by the lump body side face contacting any portion of an inner surface of the cylindrical body side wall. A first space is provided at least either between the first cylindrical body end face and the first lump body end face or between the second cylindrical body end face and the second lump body end face.",Flavor source unit and flavor inhaler,A61M
11213072,"A power supply unit for an aerosol inhaler includes: a first element connected in series to a load and having a first electric resistance value; a second series circuit including a second element having a second electric resistance value and a third element connected in series to the second element and having a third electric resistance value, and connected in parallel with a first series circuit including the load and the first element; and an operational amplifier in which one of a non-inverting input terminal and an inverting input terminal is connected to the first series circuit, and the other of the non-inverting input terminal and the inverting input terminal is connected to the second series circuit. Each of the first to third electric resistance values is larger than the electric resistance value of the load at a normal temperature or a temperature in a predetermined temperature range.",Power supply unit for aerosol inhaler,A61M
11213073,"A volatizer is provided including a multifunction cap secured over the open end of a body or other device, the chamber or other part of the device holding an amount of material to be extracted by selective volatization therein and including a thermo-indicator thereon or therein capable of deforming, actuating or otherwise indicating upon heating to a preselected temperature to provide an indication of the proper temperature for volatilization and extraction of the selected and or target compound from the material within the device.",Tubular volatizing device,A61M
11213195,"A device for visualization of internal tissue of a patient's uterus having a hand-held control unit, an elongated member, and an image capturing tip. To increase the manoeuvrability of the image capturing tip, the elongated member forms a straight portion extending along a straight axis and a curved portion forming a curvature away from the straight axis, the curved portion being between the image capturing tip and the straight portion. By rotation of an inner tube in an outer tube, the image capturing structure will move along a circular path without being rotated about the centre axis of the elongated member.",Device for use in hysteroscopy,A61M
11213218,"A sensor is configured for measuring skin conductance. An amplifier is used to convert the skin conductance into an analog output voltage which is then converted into the digital domain by an analog-to-digital converter, so that an increase in the tonic skin conductance and the phasic skin conductance response are obtained in the digital domain. The amplifier has a non-linear logarithmic gain, with a decreasing gain for increasing skin conductance values. The sensor enables detection of increases in both tonic and phasic signals over a wide range of skin conductance. This allows the use of a lower resolution, and therefore lower cost, analog-to-digital converter.",Measurement of skin conductance,A61M
11213222,"A method and apparatus to determine residual long volume of a subject is disclosed. Physical characteristics of water in a pool and surrounding air barometric pressure is determined. A body of the subject is completely submerged in the pool of water at a known depth and exhales. The subject then moves to a shallower depth in the water and completely exhales air into an air measuring device. The residual lung volume is then determined and displayed based on the water characteristics, barometric air pressure, the amount of air exhaled into the air measuring device, and the depths of the subject during exhalation.",Method and system for determining residual lung volume,A61M
11213229,An apparatus for insertion of a medical device in the skin of a subject is provided.,Analyte sensor and apparatus for insertion of the sensor,A61M
11213230,"A method for optional external calibration of a calibration-free glucose sensor uses values of measured working electrode current (Isig) and EIS data to calculate a final sensor glucose (SG) value. Counter electrode voltage (Vcntr) may also be used as an input. Raw Isig and Vcntr values may be preprocessed, and low-pass filtering, averaging, and/or feature generation may be applied. SG values may be generated using one or more models for predicting SG calculations. When an external blood glucose (BG) value is available, the BG value may also be used in calculating the SG values. A SG variance estimate may be calculated for each predicted SG value and modulated, with the modulated SG values then fused to generate a fused SG. A Kalman filter, as well as error detection logic, may be applied to the fused SG value to obtain a final SG, which is then displayed to the user.",Optional sensor calibration in continuous glucose monitoring,A61M
11213231,"A diagnostic Electrochemical Impedance Spectroscopy (EIS) procedure is applied to measure values of impedance-related parameters for one or more sensing electrodes. The parameters may include real impedance, imaginary impedance, impedance magnitude, and/or phase angle. The measured values of the impedance-related parameters are then used in performing sensor diagnostics, calculating a highly-reliable fused sensor glucose value based on signals from a plurality of redundant sensing electrodes, calibrating sensors, detecting interferents within close proximity of one or more sensing electrodes, and testing surface area characteristics of electroplated electrodes. Advantageously, impedance-related parameters can be defined that are substantially glucose-independent over specific ranges of frequencies. An Application Specific Integrated Circuit (ASIC) enables implementation of the EIS-based diagnostics, fusion algorithms, and other processes based on measurement of EIS-based parameters.","Application of electrochemical impedance spectroscopy in sensor systems, devices, and related methods",A61M
11213249,"A blood sugar regulation system including: a blood sugar sensor; an insulin injection device; and a processing and control unit predicting the future evolution of the blood sugar based on a physiological model and accordingly controlling the insulin injection device, wherein the processing and control unit is capable of: a) implementing a calibration of the model by taking into account a history of the measured blood sugar; b) at the end of the calibration step, determining whether the model is satisfactory or not based on at least one numerical indicator representative of the error between the blood sugar estimated based on the model and the real blood sugar measured by the sensor; and c) if the quality of the model is not satisfactory, controlling the insulin injection device without taking into account the predictions made from the model.",Automated system for controlling the blood glucose level of a patient,A61M
11213306,"A catheter includes a first hollow shaft made of a first material, a second hollow shaft made of a second material, a mesh member with a tubular shape configured to expand and contract in a radial direction, a front end tip, and a core wire. The core wire extends inside the mesh member, inside a lumen of the second hollow shaft, and inside a lumen of the first hollow shaft. The core wire has a front end side small-diameter portion and a large-diameter portion. The large-diameter portion has an outer diameter larger than an outer diameter of the front end side small-diameter portion, and is located on the base end side relative to the front end side small-diameter portion. At least a portion of the large-diameter portion is located in the lumen of the second hollow shaft in a state where the mesh member remains contracted radially.",Catheter,A61M
