patent_id,patent_abstract,patent_title,cpc_subclass
11213211,An ambulatory medical device comprises: a sensing component to be disposed on a patient for detecting a physiological signal of the patient; and monitoring and self-test circuitry configured for detecting a triggering event and initiating one or more self-tests based on detection of the triggering event. The ambulatory medical device senses the physiological signal of the patient substantially continuously over an extended period of time.,Systems and methods for testing a medical device,A61N
11213215,"Systems and methods for clinical neuronavigation in accordance with embodiments of the invention are illustrated. One embodiment includes a method for generating a brain stimulation target, including obtaining functional magnetic resonance imaging (fMRI) image data of a patient's brain, where brain imaging data describes neuronal activations within the patient's brain, determining a brain stimulation target by mapping at least one region of interest to the patient's brain, locating functional subregions within the at least one region of interest based on the fMRI image data, determining functional relationships between at least two brain regions of interest, generating parameters for each functional subregion, generating a target quality score for each functional subregion based on the parameters and selecting a brain stimulation target based on its target quality score and the patient's neurological condition.",Systems and methods for clinical neuronavigation,A61N
11213236,"A pedicle access system including a cannula, a stylet, and a removable T-handle. The pedicle access system may be used to percutaneously approach the pedicle, initiate pilot hole formation, and conduct a stimulation signal to the target site for the purposes of performing a pedicle integrity assessment during the pilot hole formation. To do this, the cannula and stylet are locked in combination and inserted through an operating corridor to the pedicle target site, using the T-handle to facilitate easy movement and positioning of the cannula/stylet combination. A stimulation signal may be applied during pilot hole formation to conduct the pedicle integrity assessment. In a significant aspect, the T-handle may be detached from the cannula/stylet combination to facilitate the use of various surgical tools as necessary.",Insulated pedicle access system and related methods,A61N
11213242,"Systems and methods for detecting atrial tachyarrhythmia are discussed. An exemplary atrial tachyarrhythmia detection system includes an arrhythmia detector circuit configured to receive physiologic information of a patient, generate a morphological similarity metric between the received physiologic information and a sinus rhythm (SR) template representing a morphology of conducted sinus beats during normal SR, and generate a morphological variability metric indicative of a variability in morphology between heart beats in the received physiologic information. The arrhythmia detector circuit may detect an atrial tachyarrhythmia episode the morphological similarity and morphological variability metrics.",Morphology-based atrial tachyarrhythmia detector,A61N
11213265,"According to some aspects, a monochromatic x-ray source is provided. The monochromatic x-ray source comprises an electron source configured to generate electrons, a primary target arranged to receive electrons from the electron source to produce broadband x-ray radiation in response to electrons impinging on the primary target, and a secondary target comprising at least one layer of material capable of producing monochromatic x-ray radiation in response to incident broadband x-ray radiation emitted by the primary target.",Monochromatic x-ray imaging systems and methods,A61N
11213266,A system can have an x-ray source that generates a series of individual x-ray pulses for multi-energy imaging. A first x-ray pulse can have a first energy level and a subsequent second x-ray pulse in the series can have a second energy level different from the first energy level. An x-ray imager can receive the x-rays from the x-ray source and can detect the received x-rays for image generation. A generator interface box (GIB) controls the x-ray source to provide the series of individual x-ray pulses and synchronizes detection by the x-ray imager with generation of the individual x-ray pulses. The GIB can control x-ray pulse generation and synchronization to optimize image generation while minimizing unnecessary x-ray irradiation.,"Systems, methods, and devices for multi-energy x-ray imaging",A61N
11213321,"According to some embodiments, a method of treating a skin surface of a subject comprises heating a skin surface, abrading native skin tissue of a subject using a microdermabrasion device, wherein using the microdermabrasion device comprises moving the microdermabrasion device relative to the skin surface while simultaneously delivering at least one treatment fluid to the skin surface being treated and cooling the abraded skin surface.","Devices, systems and methods for treating the skin",A61N
11213339,"Flexible apparatus for ablating unhealthy spinal tissue. A housing includes a distal end and a proximal end. Multiple thermocouples mounted on the housing measure spinal tissue temperatures at locations between the proximal end and the distal end. A sensor measures spinal tissue impedance. The measured spinal tissue impedance corresponds to various physical state data of the spinal tissue. The spinal tissue impedance and the spinal tissue temperatures are displayed to the surgeon, enabling the surgeon to determine with certainty the location of the unhealthy spinal tissue, and to exercise control over the ablation apparatus. Nerve stimulation by IMP/STM switch system to detect nerve responses before and after treatment.","Spinal tissue ablation apparatus, system, and method",A61N
11213345,"A catheter including an elongated shaft having a distal end and a proximal end, where the catheter includes a thermal element at the distal end thereof. The thermal element may be used in an ablation procedure or other procedure to heat a tissue adjacent a vessel. In some instances, the thermal element may be positioned in a first vessel and may operate to heat tissue adjacent a second vessel or adjacent an ostium between the first vessel and the second vessel. Further, the catheter may include an expandable portion on which the thermal element may be connected or positioned. The expandable portion(s) may comprise a basket or cage, a balloon, a memory shape and formable portion, and/or other mechanical expanders.",Ostial renal nerve ablation,A61N
11213349,"Current cancer treatments such as surgery, radiation and chemotherapy have significant side-effects for the patients. New treatments are being developed to reduce these side-effects while giving doctors alternative methods to treat patients. This invention introduces a new apparatus for treatment of malignant tumors including brain cancer, pancreatic cancer, lung cancer, ovarian cancer, and breast cancer. The apparatus couples RF power into the tumor using evanescent waves. The evanescent waves disrupt the division of cancer cells causing the cancer cells to die and shrink the size of the tumor. Due to the targeted approach of the evanescent waves, less RF energy is wasted in healthy cells.",Apparatus for treating tumors by evanescent waves,A61N
