patent_id,patent_abstract,patent_title,cpc_subclass
11213020,"An atopic dermatitis model non-human animal, containing a gene mutation in which a complex containing dedicator of cytokinesis 8 (DOCK8) protein, mammalian STE20-like kinase 1 (MST1) protein, and endothelial PAS domain protein 1 (EPAS1) protein is not formed in CD4+ T cells.",Atopic dermatitis model non-human animal and use thereof,A61P
11213058,"A substance having innate immune stimulating activity is a polysaccharide, which contains 25 to 50 parts by mole of galacturonic acid, 15 to 50 parts by mole of galactose, 0 to 7 parts by mole of glucose, 0 to 30 parts by mole of arabinose, 0 to 6 parts by mole of xylose, and 3 to 15 parts by mole of rhamnose as constituent sugars. The polysaccharide has a polygalacturonic acid chain having α-1,4-linked galacturonic acid as a main chain. An innate immune stimulant can include the polysaccharide as an active component, which can be included in a food or drink.",Polysaccharide having innate immunity stimulating activity,A61P
11213059,The present technology relates to a nutritional formulation for administration to bariatric individuals. The nutritional formulation includes a multi-nutrients dosage unit; and a minerals dosage unit.,Nutritional formulations and kits for bariatric individuals,A61P
11213465,"Disclosed is an apparatus and methods for its use that is configured to be used to treat various skin conditions. The apparatus includes a water-permeable absorbent material and a plant material comprising a water-soluble skin-active ingredient. The plant material is enclosed within the water-permeable absorbent material, and the water-permeable absorbent material is configured to absorb water and allow the absorbed water to contact the plant material so as to release the active ingredient from the plant material. The active ingredient is then absorbed by the absorbent material, which is then topically applied to skin in need of skin treatment.",Delivery of active ingredients from plant materials to skin,A61P
11213467,"Provided herein are compositions for delivering one or more cannabinoids to the skin of a subject and methods of using the compositions to deliver the one or more cannabinoids to the skin of a subject. The compositions contain a carrier that facilitates the delivery and permeation of cannabinoids to and through the skin. The carriers of the compositions contain squalane or mixtures of squalane and hemisqualane. The compositions described herein may serve as the base for the preparation of various cosmetics or various pharmaceuticals. The cosmetics or pharmaceuticals may be used to reduce inflammation, control pain, or prevent aging of the skin of a subject.",Compositions and methods for delivering cannabinoids to skin,A61P
11213472,"The purpose of this invention is to find a novel fragrance component effective for prevention or control of swelling, lymphedema, skin aging or obesity from the viewpoint of activation of lymph vessel function by promotion of the expression of VEGFC. This invention provides a swelling improving agent, lymph vessel activator and VEGFC production promoter characterized by containing one or a plurality of components selected from the group consisting of rose oxide, citronellyl acetate and niaouli oil.",VEGFC production promoter,A61P
11213478,"The disclosure provides compositions and methods for promoting hair growth and reducing hair loss using bioactive extracts of curcumin, Withania somnifera, and saw palmetto. Tocotrienols, tocopherols, piperine extract, low molecular weight collagen, and hyaluronic acid are optionally included in the compositions and methods",Compositions and methods for hair regrowth,A61P
11213481,"A method of subcutaneous delivery of a drug or a therapeutic agent to a subject to treat a localized condition, the method including obtaining a liquid composition including the drug or the therapeutic agent dissolved in a tumescent solution, wherein the tumescent solution includes the drug or the therapeutic agent a vasoconstrictor; and a pharmaceutically acceptable carrier; and delivering a mass of the liquid composition subcutaneously to a localized tissue in the subject, wherein the drug or the therapeutic agent treats the localized condition in the localized tissue, wherein a concentration of the drug or the therapeutic agent subcutaneously delivered exceeds a concentration of the drug or the therapeutic agent that can be safely achieved by intravenous delivery, and wherein an amount of the drug or the therapeutic agent located at an outer boundary of the mass of fluid and available for absorption is less than an amount of the drug or the therapeutic agent located within a central portion of the mass of fluid and virtually isolated from the systemic circulation by virtue of capillary vasoconstriction.",Tumescent drug delivery,A61P
11213482,"A recombinant coronavirus vaccine is provided. Methods of making and delivering the coronavirus vaccine also are provided. A microneedle array is provided, along with methods of making and using the microneedle array.",SARS-CoV-2 subunit vaccine and microneedle array delivery system,A61P
11213485,"The invention relates to the prevention and/or treatment of a severe broncho-pulmonary disease by administering a solution formulation from a pressurized metered dose inhaler capable of providing therapeutical doses of two or more active drug substances to the lung, wherein all the active drug substances are fully dissolved in the formulation as well as the two or more active drug substances are delivered with substantially the same particle size distribution.",Pharmaceutical solution formulations for pressurized metered dose inhalers,A61P
