patent_id,patent_abstract,patent_title,cpc_subclass
11213463,"An oil-in-water type emulsified cosmetic and a method of making can be prepared in a system not containing a silicone and is surprisingly produced without a wet-type dispersion apparatus by using a specific combination of the oil component constituting the oily phase and a hydrophobizing agent for a hydrophobized powder. The composition includes an aqueous phase; an oily phase dispersed in the aqueous phase; and a powder dispersed in the oily phase. The oily phase comprises (a) volatile hydrocarbon oil and (b) non-volatile hydrocarbon oil in a combined amount of 40% by mass or more with respect to the total oil content, wherein the blending ratio of (b) non-volatile hydrocarbon oil to (a) volatile hydrocarbon oil, [(b)/(a)], is within a range of 0 to 2.5, and the powder comprises a powder having a surface hydrophobized by a treatment with a metallic soap consisting of a higher fatty acid and a divalent metal or a composite treatment with a higher fatty acid and a divalent metal hydroxide.",Oil-in-water type cosmetic composition,A61Q
11213464,"A solid temporal colorimetric hydrogel cosmetic composition includes 15 to 99.90 wt % of the water phase part and 0.10 to 85 wt % of the oil phase part, having a refractive index difference of 0 to 0.02 therebetween, and having a color change according to variations in a refractive index difference between the water phase part and the oil phase difference when applied to the skin. The cosmetic composition not only has flexibility through irradiation of gamma-rays, but also enables an optimal application time of the cosmetic composition to be visually confirmed through a color change from transparency to ivory white due to a change in the refractive index difference caused by absorbency and volatilization of water when applying the composition to the skin. The cosmetic composition is capable of improving quality of a product although a preservative irritating to the skin is not added.",Solid temporal colorimetric hydrogel cosmetic composition having flexibility by gamma-ray irradiation,A61Q
11213465,"Disclosed is an apparatus and methods for its use that is configured to be used to treat various skin conditions. The apparatus includes a water-permeable absorbent material and a plant material comprising a water-soluble skin-active ingredient. The plant material is enclosed within the water-permeable absorbent material, and the water-permeable absorbent material is configured to absorb water and allow the absorbed water to contact the plant material so as to release the active ingredient from the plant material. The active ingredient is then absorbed by the absorbent material, which is then topically applied to skin in need of skin treatment.",Delivery of active ingredients from plant materials to skin,A61Q
11213466,"A personal care composition, comprising a soluble zinc polyphosphate complex made by combining ingredients comprising an inorganic zinc salt, a plurality of long chain polyphosphates having 6 or more phosphate polymer units, and an aqueous solvent; wherein the relative amount of inorganic zinc salt and long chain polyphosphates provides a phosphorus to zinc mole ratio of at least 6:1. Also, a method of using the composition for reducing at least one of perspiration or body odor.",Personal care compositions with zinc phosphate active,A61Q
11213467,"Provided herein are compositions for delivering one or more cannabinoids to the skin of a subject and methods of using the compositions to deliver the one or more cannabinoids to the skin of a subject. The compositions contain a carrier that facilitates the delivery and permeation of cannabinoids to and through the skin. The carriers of the compositions contain squalane or mixtures of squalane and hemisqualane. The compositions described herein may serve as the base for the preparation of various cosmetics or various pharmaceuticals. The cosmetics or pharmaceuticals may be used to reduce inflammation, control pain, or prevent aging of the skin of a subject.",Compositions and methods for delivering cannabinoids to skin,A61Q
11213468,"A method for treating hair including providing a caustic as well as an acidic crosslinking composition, wherein the caustic crosslinking composition comprises an at least bi-functional Brønsted-base and the acidic crosslinking composition comprises includes an at least bi-functional organic acid, and a cosmetically acceptable carrier; applying the caustic as well as the acidic crosslinking composition to keratin fibres; and optionally mixing the caustic crosslinking composition into a commercially available hair colouring or hair bleaching composition; and a kit thereof.",Method and kit for processing hair,A61Q
11213469,"An effervescent foot bath which employs an acid in combination with a carbonated base to produces a effervescing effect in a closed foot tub. The reaction has been designed to function externally to soften and begin the process of removing dry, rough peeling skin from the feet.",Effervescent foot bath and method,A61Q
11213470,"The disclosure relates to compositions for treating keratinous substrates, such as the hair, comprising at least one monoamine and at least one carboxylic acid, as well as systems and methods for treating keratinous substrates with the compositions.",Compositions for treating the hair,A61Q
11213471,"The present invention relates to a composition for dyeing keratin fibres, comprising an oxidation base, a 2-amino-5-ethylphenol coupler and at least 20% by weight of fatty substance relative to the total weight of the composition.The invention also relates to a process for dyeing keratin fibres using this composition.Finally, the invention relates to the use of such a composition for dyeing keratin fibres, and in particular the hair.","Composition for dyeing the hair, comprising an oxidation base, a 2-amino-5-ethylphenol coupler and a fatty substance",A61Q
11213472,"The purpose of this invention is to find a novel fragrance component effective for prevention or control of swelling, lymphedema, skin aging or obesity from the viewpoint of activation of lymph vessel function by promotion of the expression of VEGFC. This invention provides a swelling improving agent, lymph vessel activator and VEGFC production promoter characterized by containing one or a plurality of components selected from the group consisting of rose oxide, citronellyl acetate and niaouli oil.",VEGFC production promoter,A61Q
